"Research that uses data from D-PLACE should cite both the original source(s) of  the data and the paper by Kirby et al. in which D-PLACE was first presented  (e.g., research using cultural data from the Binford Hunter-Gatherer dataset: ""Binford (2001);  Binford and Johnson (2006); Kirby et al. Submitted)."" The reference list should include the date data were  accessed and URL for D-PLACE (https://d-place.org), in addition to the full references for Binford (2001),  Binford and Johnson (2006), and Kirby et al. Submitted."
Source,Preferred society name,Society id,Cross-dataset id,Original society name,Revised latitude,Revised longitude,Original latitude,Original longitude,Glottolog language/dialect id,Glottolog language/dialect name,ISO code,Language family,Continent,Region name,Focal Year: EA082 House construction: shape of roof,Code: EA082 House construction: shape of roof,Description: EA082 House construction: shape of roof,Comment: EA082 House construction: shape of roof,Subcase: EA082 House construction: shape of roof,References: EA082 House construction: shape of roof,Variable: Monthly Mean Precipitation (mm),Comment: Monthly Mean Precipitation (mm)
Ethnographic Atlas,Nupe,Af8,xd242,Nupe (Af8),9.0,6.0,9.0,6.0,nupe1254,Nupe-Nupe-Tako,nup,Atlantic-Congo,AFRICA,West Tropical Africa,1930,4,Conical,,,Nadel(1940); Banfield and MacIntyre(1915); Forde(1955); Nadel(1954); Nadel(1942); ,101.2986667,
Ethnographic Atlas,Kaska,Na4,xd1056,Kaska (Na4),59.0,-128.0,59.0,-128.0,kask1239,Kaska,kkz,Athapaskan-Eyak-Tlingit,NORTHERN AMERICA,Western Canada,1920,4,Conical,,Upper Liard and Dease River Group,Honigmann(1954); Teit(1956); Underwood and Honigman(1947); Honigmann(1949); ,34.9445,
Ethnographic Atlas,Choroti,Sh5,xd1392,Choroti (Sh5),-22.0,-62.0,-22.0,-62.0,iyow1239,Iyo'wujwa Chorote,crq,Matacoan,SOUTHERN AMERICA,Southern South America,1910,4,Conical,,,Nordenskiold(1919); Karsten(1932); Rosen(1924a); ,37.85966667,
Ethnographic Atlas,Kiliwa,Nc34,xd1134,Kiliwa (Nc34),31.0,-115.0,31.0,-115.0,kili1268,Kiliwa,klb,Cochimi-Yuman,NORTHERN AMERICA,Mexico,1880,8,"Gabled, i.e., with two slopes",,,Meigs(1939); ,13.63833333,
Ethnographic Atlas,Shluh,Cd5,xd523,Shluh (Cd5),30.0,-9.0,30.0,-9.0,susi1238,Susiua,,Afro-Asiatic,AFRICA,Northern Africa,1920,7,Flat or horizontal,,with special reference to those of the Grand Atlas Mountains,Montagne(1927); Montagne(1930); Ubach and Rackow(1923); ,14.131,
Ethnographic Atlas,Kru,Af48,xd228,Kru (Af48),5.0,-9.0,5.0,-9.0,klao1243,Klao,klu,Atlantic-Congo,AFRICA,West Tropical Africa,1850,4,Conical,,,Wilson(1856); ,239.2148333,
Ethnographic Atlas,Iatmul,Ie35,xd813,Iatmul (Ie35),-4.0,143.0,-4.0,143.0,iatm1242,Iatmul,ian,Ndu,ASIA-TROPICAL,Papuasia,1930,8,"Gabled, i.e., with two slopes",,,Bateson(1932); Bateson(1936); ,182.064,
Ethnographic Atlas,Hukundika,Nd5,xd1185,Hukundika (Nd5),42.0,-112.0,42.0,-112.0,nort2955,Northern Shoshoni,,Uto-Aztecan,NORTHERN AMERICA,Northwestern U.S.A.,1870,4,Conical,,,Steward(1943); Hoebel(1939); ,31.598,
Ethnographic Atlas,Kwoma,Ie12,xd788,Kwoma (Ie12),-4.0,142.0,-4.0,142.0,kwom1262,Kwoma,kmo,Sepik,ASIA-TROPICAL,Papuasia,1930,8,"Gabled, i.e., with two slopes",,Hongwam subtribe; Rumbima,Whiting and Reed(1938); Whiting(1941); ,241.939,
Ethnographic Atlas,Kumu,Ae32,xd152,Kumu (Ae32),-1.0,27.0,-1.0,27.0,komo1260,Komo (Democratic Republic of Congo),kmw,Atlantic-Congo,AFRICA,West-Central Tropical Africa,1920,8,"Gabled, i.e., with two slopes",,,Van Geluwe(1956); ,112.7138333,
Ethnographic Atlas,Northern Saulteaux,Na33,xd1049,Northern Saulteaux (Na33),52.0,-98.0,52.0,-98.0,alba1270,Albany River Ojibwa,,Algic,NORTHERN AMERICA,Western Canada,1870,4,Conical,,Berens River band,Skinner(1912); Dunning(1959b); Hallowell(1938a); Hallowell(1938b); Hallowell(1939); Hallowell(1940); Hallowell(1941); Hallowell(1942); Hallowell(1955); Hallowell(1963); ,37.02916667,
Ethnographic Atlas,Kuikuru,Si10,xd1398,Kuikuru (Si10),-13.0,-54.0,-13.0,-54.0,kuik1246,Kuikúro-Kalapálo,kui,Cariban,SOUTHERN AMERICA,Brazil,1950,1,Rounded or semi-cylindrical,,,Carneiro and Dole(1957); Carneiro(1958); Dole(1958); ,157.6345,
Ethnographic Atlas,Dera,Cb28,xd478,Dera (Cb28),10.0,12.0,10.0,12.0,dera1248,Dera (Nigeria),kna,Afro-Asiatic,AFRICA,West Tropical Africa,1920,4,Conical,,,Meek(1931d); ,72.78,
Ethnographic Atlas,Tagotoka,Nd21,xd1154,Tagotoka (Nd21),43.0,-117.0,43.0,-117.0,nort1551,North Northern Paiute,,Uto-Aztecan,NORTHERN AMERICA,Northwestern U.S.A.,1870,4,Conical,,,Stewart(1941); ,22.17116667,
Ethnographic Atlas,Kerewe,Ad43,xd113,Kerewe (Ad43),-3.0,33.0,-3.0,33.0,kere1283,Kerewe,ked,Atlantic-Congo,AFRICA,East Tropical Africa,1900,4,Conical,,,Hurel(1911); ,65.24166667,
Ethnographic Atlas,Nez Perce,Nd20,xd1153,Nez Perce (Nd20),45.0,-115.0,45.0,-115.0,nezp1238,Nez Perce,nez,Sahaptian,NORTHERN AMERICA,Northwestern U.S.A.,1850,8,"Gabled, i.e., with two slopes",,,Curtis(1911); Spiden(1908); Haines(1955); Elmendorf(1963); ,37.31233333,
Ethnographic Atlas,Kela,Ae21,xd140,Kela (Ae21),-3.0,23.0,-3.0,23.0,kela1254,Kela (Democratic Republic of Congo),kel,Bookkeeping,AFRICA,West-Central Tropical Africa,1920,8,"Gabled, i.e., with two slopes",,,Empain(1922); Torday and Joyce(1922b); ,146.7206667,
Ethnographic Atlas,Senoi,Ej14,xd721,Senoi (Ej14),4.0,102.0,4.0,102.0,sema1266,Semai,sea,Austroasiatic,ASIA-TROPICAL,Malesia,1960,8,"Gabled, i.e., with two slopes",,with special reference to the eastern Semai,Dentan(1967); ,283.9876667,
Ethnographic Atlas,Banyang,Af16,xd193,Banyang (Af16),6.0,9.0,6.0,9.0,keny1279,Kenyang,ken,Atlantic-Congo,AFRICA,West Tropical Africa,1910,8,"Gabled, i.e., with two slopes",,,Schuster(1914); Staschewski(1917); Ruel(1956); ,191.9998333,
Ethnographic Atlas,Idoma,Af29,xd207,Idoma (Af29),7.0,8.0,7.0,8.0,idom1241,Idoma,idu,Atlantic-Congo,AFRICA,West Tropical Africa,1950,4,Conical,,,Temple(1922); Armstrong(1954); Forde et al.(1955); ,136.4635,
Ethnographic Atlas,Kakwa,Aj14,xd389,Kakwa (Aj14),4.0,31.0,4.0,31.0,kakw1240,Kakwa,keo,Nilotic,AFRICA,Northeast Tropical Africa,1931,4,Conical,,,Huntingford(1953a); Nalder(1937); ,94.37733333,
Ethnographic Atlas,Shivwits,Nd52,xd1188,Shivwits (Nd52),36.0,-117.0,36.0,-117.0,sout2969,Southern Paiute,,Uto-Aztecan,NORTHERN AMERICA,Southwestern U.S.A.,1860,4,Conical,,"including the Suwuntsu (St. George), Gunlock, and Uinkaret groups of Southern Paiute",Lowie(1924); Stewart(1942); Drucker(1941); ,17.88866667,
Ethnographic Atlas,Ket,Ec8,xd636,Ket (Ec8),62.0,90.0,62.0,90.0,kett1243,Ket,ket,Yeniseian,ASIA-TEMPERATE,Siberia,1900,7,Flat or horizontal,,,Shimkin(1939); ,44.09416667,
Ethnographic Atlas,Tokelau,Ii6,xd885,Tokelau (Ii6),-9.2,-171.85,-9.0,-172.0,toke1240,Tokelau,tkl,Austronesian,PACIFIC,Southwestern Pacific,1900,8,"Gabled, i.e., with two slopes",,with special reference to Atafu,Macgregor(1937); ,231.9486667,"Note, estimate is from a point 39 km away (coordinates: -9.11,-171.51); data were not available at society's reported location"
Ethnographic Atlas,Kumyk,Ci3,xd579,Kumyk (Ci3),42.0,48.0,42.0,48.0,kumy1244,Kumyk,kum,Turkic,ASIA-TEMPERATE,Caucasus,1900,7,Flat or horizontal,,with special reference to the Kayakent group of eastern Dagestan,Gadzheva(1958); ,29.51666667,
Ethnographic Atlas,Oyo Yoruba,Af6,xd240,Oyo Yoruba (Af6),8.0,4.0,8.0,4.0,ilaa1245,Ila (Yoruba),,Atlantic-Congo,AFRICA,West Tropical Africa,1950,8,"Gabled, i.e., with two slopes",,"Yoruba, with special reference to the Oyo",Lloyd(1955); Forde(1951); Schwab(1955); ,99.93583333,
Ethnographic Atlas,Kodavas,Eg5,xd681,Coorg (Eg5),12.0,76.0,12.0,76.0,koda1255,Kodava,kfa,Dravidian,ASIA-TROPICAL,Indian Subcontinent,1930,9,"Hipped or pyramidal, i.e., with four slopes",,,Emeneau(1939); Srinivas(1952); ,146.2296667,
Ethnographic Atlas,Somba,Ag51,xd290,Somba (Ag51),11.0,1.0,11.0,1.0,dita1238,Ditammari,tbz,Atlantic-Congo,AFRICA,West Tropical Africa,1940,4,Conical,,,Mercier(1950); Mercier(1953); ,76.15566667,
Ethnographic Atlas,Toradja,Ic5,xd767,Toradja (Ic5),-2.0,121.0,-2.0,121.0,tora1261,Toraja-Sa'dan,sda,Austronesian,ASIA-TROPICAL,Malesia,1910,8,"Gabled, i.e., with two slopes",,Bare'e subgroup,Drabbe(1940); Downs(1956); Adriani and Kruijt(1912); ,253.2646667,
Ethnographic Atlas,Kabre,Ag49,xd287,Kabre (Ag49),10.0,2.0,10.0,2.0,kabi1261,Kabiyé,kbp,Atlantic-Congo,AFRICA,West Tropical Africa,1930,4,Conical,,,Froelich et al.(1963); Froelich(1949a); Puig(1934); ,93.211,
Ethnographic Atlas,Ngbandi,Ai26,xd355,Ngbandi (Ai26),4.0,22.0,4.0,22.0,nort2774,Northern Ngbandi,ngb,Atlantic-Congo,AFRICA,West-Central Tropical Africa,1920,4,Conical,,,Burssens(1958); Nelson(1951); Tanghe(1928); ,139.5,
Ethnographic Atlas,Teso,Aj1,xd384,Teso (Aj1),2.0,34.0,2.0,34.0,teso1249,Teso,teo,Nilotic,AFRICA,East Tropical Africa,1950,3,Beehive shaped with pointed peak,,,Lawrance(1957); ,73.26283333,
Ethnographic Atlas,Kafa,Ca30,xd438,Kafa (Ca30),7.0,36.0,7.0,36.0,kafa1242,Kafa,kbr,Ta-Ne-Omotic,AFRICA,Northeast Tropical Africa,1890,4,Conical,,Kafa Kingdom,Cerulli(1932-33); Bieber(1920-23); Huntingford(1955b); ,116.6421667,
Ethnographic Atlas,Taulípang,Sc15,xd1341,Taulipang (Sc15),4.0,-62.0,4.0,-62.0,taul1252,Taulipang,,Cariban,SOUTHERN AMERICA,Brazil,1910,4,Conical,,,Ule(1913); Koch-Grunberg(1923a); Soares Diniz(1965); ,234.5873333,
Ethnographic Atlas,Songo,Ac25,xd50,Songo (Ac25),-5.0,18.0,-5.0,18.0,song1299,Songo,soo,Atlantic-Congo,AFRICA,West-Central Tropical Africa,1930,9,"Hipped or pyramidal, i.e., with four slopes",,with reference to the tribe of this name on the Luniunga and Gobari rivers,Richards(1950); Beaucorps(1921); Beaucorps(1951); ,134.7685,
Ethnographic Atlas,Kanuri,Cb19,xd468,Kanuri (Cb19),12.0,13.0,12.0,13.0,mang1399,Manga Kanuri,kby,Saharan,AFRICA,West Tropical Africa,1870,4,Conical,,,Denham and Clapperton(1826); Nachtigal(1879-81); Schultze(1913); Cohen(1960); Cohen(1961); Cohen(1967); ,40.83316667,
Ethnographic Atlas,Niueans,Ii9,xd888,Niueans (Ii9),-19.05,-169.86,-19.0,-169.0,niue1239,Niuean,niu,Austronesian,PACIFIC,Southwestern Pacific,1840,8,"Gabled, i.e., with two slopes",,,Loeb(1926a); ,171.2651667,"Note, estimate is from a point 37 km away (coordinates: -19.1,-169.51); data were not available at society's reported location"
Ethnographic Atlas,Alur,Aj17,xd392,Alur (Aj17),2.0,31.0,2.0,31.0,alur1250,Alur,alz,Nilotic,AFRICA,West-Central Tropical Africa,1890,4,Conical,,,Stirton(1925); Stuhlmann(1894); Demuenynck(1908); Southall(1956); ,91.0275,
Ethnographic Atlas,Ob Ostyak,Ec10,xd618,Ob Ostyak (Ec10),62.0,74.0,62.0,74.0,khan1273,Khanty,kca,Uralic,ASIA-TEMPERATE,Siberia,1880,4,Conical,,with special reference to those on the Ob River,Harva(1939-40); Steinitz(1938); Ahlqvist(1885); Rabot(1889); ,42.50316667,
Ethnographic Atlas,Makonde,Ac41,xd68,Makonde (Ac41),-11.0,40.0,-11.0,40.0,mako1251,Makonde,kde,Atlantic-Congo,AFRICA,South Tropical Africa,1900,4,Conical,,,Behr(1893); Weule(1908); ,91.801,
Ethnographic Atlas,Kusasi,Ag41,xd279,Kusasi (Ag41),11.0,0.0,11.0,0.0,kusa1250,Kusaal,kus,Atlantic-Congo,AFRICA,West Tropical Africa,1920,4,Conical,,,Manoukian(1952b); Rattray(1932); ,74.633,
Ethnographic Atlas,Tem,Ag52,xd291,Tem (Ag52),11.0,1.0,11.0,1.0,temm1241,Tem,kdh,Atlantic-Congo,AFRICA,West Tropical Africa,1950,4,Conical,,,Froelich et al.(1963); ,76.15566667,
Ethnographic Atlas,Gilbert Onotoa,If7,xd838,Gilbert Onotoa (If7),-1.47,175.06,-2.0,174.0,nuii1237,Nui,,Austronesian,PACIFIC,Southwestern Pacific,1940,8,"Gabled, i.e., with two slopes",,with special reference to the inhabitants of Onotoa,Lundsgaarde(1966); Goodenough(1955); Knudson(1965); Goodenough(1951b); ,138.2363333,
Ethnographic Atlas,Kunda,Ac37,xd63,Kunda (Ac37),-15.0,32.0,-15.0,32.0,kund1255,Kunda (Sena),kdn,Atlantic-Congo,AFRICA,South Tropical Africa,1950,4,Conical,,,Bruwer(1958); ,67.94083333,
Ethnographic Atlas,Ngizim,Cb29,xd479,Ngizim (Cb29),12.0,10.0,12.0,10.0,ngiz1242,Ngizim,ngi,Afro-Asiatic,AFRICA,West Tropical Africa,1920,4,Conical,,,Meek(1931d); ,52.9575,
Ethnographic Atlas,Lithuanian Karaim,ch22,xd560,Lithuanian Karaim (ch22),55.0,23.0,55.0,23.0,kara1464,Karaim,kdr,Turkic,EUROPE,Eastern Europe,1895,8,"Gabled, i.e., with two slopes",,with special reference to those of the Trakaj area,Tuhan-Baranowski(1896); Vjartsinkjavjachus(1989); Maciuika(1955); Hafuz(1994); Kefeli(1992); Muhlinskij(1862); Muhlinskij(1902); Eljashevish(1994); Firkovich(1969); Shapshal(1995); ,52.83233333,
Ethnographic Atlas,Armenians,Ci10,xd575,Armenians (Ci10),40.0,45.0,40.0,45.0,nucl1235,Modern Armenian,hye,Indo-European,ASIA-TEMPERATE,Caucasus,1900,7,Flat or horizontal,,Vicinity of Erevan,Karst(1907-07); Haxthausen(1854); Klidschian(1911); Kohler(1906); ,40.78216667,
Ethnographic Atlas,Kamba,Ad34,xd103,Kamba (Ad34),-2.0,38.0,-2.0,38.0,kamb1297,Kamba (Kenya),kam,Atlantic-Congo,AFRICA,East Tropical Africa,1910,4,Conical,,,Middleton(1953); Hildebrandt(1878); Penwill(1951); Lindblom(1916); Dundas(1915); ,43.76483333,
Ethnographic Atlas,Hwana,Ah37,xd328,Hona (Ah37),10.0,13.0,10.0,13.0,hwan1240,Hwana,hwo,Afro-Asiatic,AFRICA,West Tropical Africa,1920,4,Conical,,,Meek(1931d); ,71.49566667,
Ethnographic Atlas,Washo,Nd6,xd1196,Washo (Nd6),39.0,-120.0,39.0,-120.0,wash1253,Washo,was,Washo,NORTHERN AMERICA,Southwestern U.S.A.,1850,4,Conical,,,Freed(1960); Stewart(1941); Barrett(1917b); Downs(1966); Lowie(1939); ,71.90333333,
Ethnographic Atlas,Minnesota Ojibwa,Na36,xd1052,Chippewa (Na36),49.0,-96.0,49.0,-96.0,redl1238,Red Lake Chippewa,,Algic,NORTHERN AMERICA,Western Canada,1860,2,Dome shaped or hemispherical,,with special reference to the Red Lake and White Earth bands,Kinietz(1947); Hilger(1939); Hilger(1951); Densmore(1929); Barnouw(1950); Barrett(1911a); Hesketh(1923); ,40.02233333,
Ethnographic Atlas,Kashmiri,Ef8,xd670,Kashmir (Ef8),34.0,75.0,34.0,75.0,kash1277,Kashmiri,kas,Indo-European,ASIA-TROPICAL,Indian Subcontinent,1950,8,"Gabled, i.e., with two slopes",,with special reference to the Pandit or Sarasvati Brahmans,Madan(1965); Lawrence(1895); Crane(1955); ,40.93933333,
Ethnographic Atlas,Anak Dalam,Ib8,xd757,Kubu (Ib8),-3.0,103.0,-3.0,103.0,kubu1239,Kubu,kvb,Austronesian,ASIA-TROPICAL,Malesia,1900,7,Flat or horizontal,,with special reference to the Ridan group,Hagen(1908); Schebesta(1928); ,239.9378333,
Ethnographic Atlas,Messiria Humr,Cb15,xd464,Messiria Humr (Cb15),11.0,28.0,11.0,28.0,west2773,Western Sudanese,,Afro-Asiatic,AFRICA,Northeast Tropical Africa,1940,2,Dome shaped or hemispherical,,with special reference to the Humr,Cunnison(1954); Henderson(1939); ,48.25833333,
Ethnographic Atlas,Warao,Sc1,xd1335,Warrau (Sc1),9.0,-62.0,9.0,-62.0,wara1303,Warao,wba,Warao,SOUTHERN AMERICA,Northern South America,1950,8,"Gabled, i.e., with two slopes",,,Kirchhoff(1948b); Suarez(1968); Hill(1956); Wilbert(1958b); Wilbert(1964); Moreno(1945); ,107.6936667,
Ethnographic Atlas,Yakut,Ec2,xd628,Yakut (Ec2),65.0,125.0,65.0,125.0,yaku1245,Yakut,sah,Turkic,ASIA-TEMPERATE,Siberia,1900,9,"Hipped or pyramidal, i.e., with four slopes",,with special reference to the Yakutsk district,Priklonskii(1953); Sumner(1901); Jochelson(1933); Chodzidlo(1951); Gayton(1948b); ,22.44183333,
Ethnographic Atlas,Kazakh,Eb1,xd609,Kazak (Eb1),48.0,70.0,48.0,70.0,kaza1248,Kazakh,kaz,Turkic,ASIA-TEMPERATE,Middle Asia,1910,2,Dome shaped or hemispherical,,Great Horde,Murdock(1934c); Castagn(1930); Grodekov(1889); Sedel'nikov(1903); Hudson(1938); Radloff(1893); ,15.31716667,
Ethnographic Atlas,Omaha,Nf3,xd1237,Omaha (Nf3),41.0,-96.0,41.0,-96.0,omah1248,Omaha,,Siouan,NORTHERN AMERICA,North-Central U.S.A.,1850,2,Dome shaped or hemispherical,,Omaha Tribe,Dorsey(1884); Fortune(1932a); Mead(1932b); Fletcher and La Flesche(1911); ,53.32033333,
Ethnographic Atlas,Ngoni,Ac9,xd75,Ngoni (Ac9),-12.0,33.0,-12.0,33.0,ngon1269,Ngoni,ngo,Atlantic-Congo,AFRICA,South Tropical Africa,1940,4,Conical,,with special reference to the Mpezeni group of Fort Jameson,Barnes(1954); Mead(1960); Tew(1950); Barnes(1951); ,69.1065,
Ethnographic Atlas,Kadiwéu,Sh4,xd1391,Caduveo (Sh4),-22.0,-57.0,-22.0,-57.0,kadi1248,Kadiwéu,kbc,Guaicuruan,SOUTHERN AMERICA,Brazil,1940,8,"Gabled, i.e., with two slopes",,,Oberg(1949); ,110.6671667,
Ethnographic Atlas,Koiari,Ie24,xd801,Koiari (Ie24),-9.0,148.0,-9.0,148.0,gras1249,Grass Koiari,kbk,Koiarian,ASIA-TROPICAL,Papuasia,1870,8,"Gabled, i.e., with two slopes",,,Chalmers(1890); Lawes(1879); ,216.4533333,
Ethnographic Atlas,Spring Valley Shoshoni,Nd39,xd995,Spring Valley (Nd39),40.0,-115.0,40.0,-115.0,west2622,Western Shoshoni,,Uto-Aztecan,NORTHERN AMERICA,Southwestern U.S.A.,1870,4,Conical,,including the Shoshoni of Snake and Antelope Valleys,Steward(1938); Steward(1941); ,24.2245,
Ethnographic Atlas,Haitians,Sb9,xd1334,Haitians (Sb9),18.41,-72.17,18.0,-72.0,hait1244,Haitian,hat,Indo-European,SOUTHERN AMERICA,Caribbean,1930,8,"Gabled, i.e., with two slopes",,,Courlander(1960); Rawson(nd); Leyburn(1941); Métraux(1960); Métraux(1959); Mintz(1963); Bastien(1951); Herskovits(1937b); Romain(1955); Simpson(1940a); Simpson(1943); Underwood and Honigmann(1947); Underwood(1960); ,147.8903333,
Ethnographic Atlas,Kanembu,Cb18,xd467,Kanembu (Cb18),14.0,14.0,14.0,14.0,kane1243,Kanembu,kbl,Saharan,AFRICA,Northeast Tropical Africa,1930,3,Beehive shaped with pointed peak,,,Lebeuf(1959); Carbou(1912); Bouillie(1937); ,17.266,
Ethnographic Atlas,Jibu,Ah23,xd313,Jibu (Ah23),8.0,11.0,8.0,11.0,jibu1239,Jibu,jib,Atlantic-Congo,AFRICA,West Tropical Africa,1920,4,Conical,,,Meek(1931a); Meek(1931d); ,109.1283333,
Ethnographic Atlas,Kapsiki,Ah38,xd329,Kapsiki (Ah38),11.0,14.0,11.0,14.0,psik1239,Psikye,kvj,Afro-Asiatic,AFRICA,West-Central Tropical Africa,1930,4,Conical,,,Lembezat(1950); Lembezat(1961); Meek(1931d); ,54.61716667,
Ethnographic Atlas,Shuar,Se3,xd1367,Jivaro (Se3),-3.0,-78.0,-3.0,-78.0,shua1257,Shuar,jiv,Jivaroan,SOUTHERN AMERICA,Western South America,1930,9,"Hipped or pyramidal, i.e., with four slopes",,,Rivet(1907-08); Stirling(1938); Harner(1962); Harner(1960); Karsten(1935); Up de Graff(1923); ,182.958,
Ethnographic Atlas,Nuer,Aj3,xd406,Nuer (Aj3),8.0,32.0,8.0,32.0,nuer1246,Nuer,nus,Nilotic,AFRICA,Northeast Tropical Africa,1930,4,Conical,,,Seligman and Seligman(1932); Evans-Pritchard(1940a); Evans-Pritchard(1940b); Evans-Pritchard(1950b); Jackson(1923); Tucker(1933); Evans-Pritchard(1936); ,75.71083333,
Ethnographic Atlas,Mesakin,Ai39,xd369,Mesakin (Ai39),11.0,30.0,11.0,30.0,ngil1242,Ngile,jle,Narrow Talodi,AFRICA,Northeast Tropical Africa,1940,4,Conical,,,Nadel(1947); ,60.38,
Ethnographic Atlas,Ngulu,Ad51,xd122,Ngulu (Ad51),-6.0,38.0,-6.0,38.0,ngul1246,Ngulu,ngp,Atlantic-Congo,AFRICA,East Tropical Africa,1930,4,Conical,,,Beidelman(1967); McVicar(1934); ,76.1445,
Ethnographic Atlas,Japanese,Ed5,xd648,Japanese (Ed5),35.0,136.0,35.0,136.0,nucl1643,Nuclear Japanese,jpn,Japonic,ASIA-TEMPERATE,Eastern Asia,1950,9,"Hipped or pyramidal, i.e., with four slopes",,Okayama,Brown(nd); Beardsley et al.(1959); Buck and Masland(1950); Smith and Cornell(1956); DeVos and Wagatsuma(1967); DeVos(1965); Norbeck(1954); ,140.8765,
Ethnographic Atlas,Hadimu,Ad29,xd97,Hadimu (Ad29),-6.07,39.43,-6.0,40.0,pemb1239,Pemba,,Atlantic-Congo,AFRICA,East Tropical Africa,1930,9,"Hipped or pyramidal, i.e., with four slopes",,,Prins(1961); Ingrams(1930); ,84.83116667,
Ethnographic Atlas,Kabyle,Cd4,xd522,Kabyle (Cd4),36.0,4.0,36.0,4.0,kaby1243,Kabyle,kab,Afro-Asiatic,AFRICA,Northern Africa,1890,8,"Gabled, i.e., with two slopes",,,Maunier(1930); Hanoteau and Letourneaux(1893); Bourdieu(1966); ,46.02333333,
Ethnographic Atlas,Irish,Cg3,xd543,Irish (Cg3),53.0,-9.0,53.0,-9.0,iris1253,Irish,gle,Indo-European,EUROPE,Northern Europe,1930,8,"Gabled, i.e., with two slopes",,County Clare,Kane(1972); Cresswell(1969); Kane(1970); Evans(1957); O'Donoghue(1958); Arensberg and Kimball(1940); ,95.2185,
Ethnographic Atlas,Bohogue,Nd45,xd1180,Bohogue (Nd45),43.0,-112.0,43.0,-112.0,nort2955,Northern Shoshoni,,Uto-Aztecan,NORTHERN AMERICA,Northwestern U.S.A.,1860,4,Conical,,,Steward(1938); Steward(1943); Murphy and Murphy(1960); ,21.39333333,
Ethnographic Atlas,Kachin,Ei5,xd711,Kachin (Ei5),26.0,97.0,26.0,97.0,kach1280,Kachin,kac,Sino-Tibetan,ASIA-TROPICAL,Indo-China,1940,8,"Gabled, i.e., with two slopes",,with special reference to the Jinghpaw,Leach(1967); Leach(1945); Leach(1954); ,144.302,
Ethnographic Atlas,Adara,Ah19,xd308,Kadara (Ah19),10.0,8.0,10.0,8.0,kada1284,Kadara,kad,Atlantic-Congo,AFRICA,West Tropical Africa,1930,4,Conical,,,Smith(nd.b); Gunn(1953); Smith(nd.a); ,95.27133333,
Ethnographic Atlas,Nyakyusa,Ad6,xd123,Nyakyusa (Ad6),-9.0,34.0,-9.0,34.0,nyak1261,Nyakyusa,,Atlantic-Congo,AFRICA,East Tropical Africa,1930,4,Conical,,Age villages of Mwaya and Masoko,Charsley and McKenny(1974); McKenny(1973); Wilson(1936); Wilson(1938); Wilson(1951a); Wilson(1951b); Lehmann(1951); Wilson(1957); Wilson(1959); Wilson(1977); ,81.33433333,
Ethnographic Atlas,Guna,Sa1,xd1309,Cuna (Sa1),9.0,-78.0,9.0,-78.0,bord1248,Border Kuna,kvn,Chibchan,SOUTHERN AMERICA,Central America,1940,8,"Gabled, i.e., with two slopes",,San Blas Archipelago,Nordenskiold(1938); De Puydt(1868); Krieger(1926); WAfer(1934); Holloman(1969); Stout(1947); Holmer(1951); ,171.73,
Ethnographic Atlas,Karekare,Cb10,xd459,Karekare (Cb10),12.0,11.0,12.0,11.0,kare1348,Karekare,kai,Afro-Asiatic,AFRICA,West Tropical Africa,1920,4,Conical,,,Meek(1931d); ,48.0525,
Ethnographic Atlas,Sawakudokwa,Nd25,xd1158,Sawakudokwa (Nd25),41.0,-118.0,41.0,-118.0,nort1551,North Northern Paiute,,Uto-Aztecan,NORTHERN AMERICA,Southwestern U.S.A.,1870,2,Dome shaped or hemispherical,,,Stewart(1941); Steward(1941); ,14.94816667,
Ethnographic Atlas,Kikuyu,Ad4,xd109,Kikuyu (Ad4),-1.0,37.0,-1.0,37.0,kiku1240,Kikuyu,kik,Atlantic-Congo,AFRICA,East Tropical Africa,1930,7,Flat or horizontal,,Fort Hall or Metume district,Leakey(1952); Leakey(1977); Lambert(1950); Lambert(1956); Hailey(1950); MacPhee(1968); Ross(1968); Cagnolo(1933); Kenyatta(1939); Middleton(1953); Tignor(1976); Routledge and Routledge(1910); ,57.67833333,
Ethnographic Atlas,Mpongwe,Ae46,xd167,Mpongwe (Ae46),-2.0,10.0,-2.0,10.0,myen1241,Myene,mye,Atlantic-Congo,AFRICA,West-Central Tropical Africa,1870,8,"Gabled, i.e., with two slopes",,,Burton(1876); Du Chaillu(1861); Allegret(1927); ,154.4365,
Ethnographic Atlas,Kaguru,Ad50,xd121,Kaguru (Ad50),-6.0,37.0,-6.0,37.0,kagu1239,Kagulu,kki,Atlantic-Congo,AFRICA,East Tropical Africa,1900,7,Flat or horizontal,,with special reference to the Mountain Kaguru,Beidelman(1967); ,73.72616667,
Ethnographic Atlas,Suri,Aj20,xd396,Suri (Aj20),6.0,35.0,6.0,35.0,suri1267,Suri,suq,Surmic,AFRICA,Northeast Tropical Africa,1940,3,Beehive shaped with pointed peak,,,Pauli(1950); Lyth(1947); Cerulli(1956); ,86.5415,
Ethnographic Atlas,Kalinga,Ia16,xd739,Kalinga (Ia16),18.0,121.0,18.0,121.0,lubu1243,Lubuagan Kalinga,knb,Austronesian,ASIA-TROPICAL,Malesia,1910,9,"Hipped or pyramidal, i.e., with four slopes",,with special reference to the northern Kalinga,Dozier(1966); Dozier(1967); Barton(1949); ,197.7843333,
